block_id,hash,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
37520,911d20f2e2696a13e8e038e78e1bffbd78a24fc2217d563864a0fff13c7a007d,2010-02-01 02:13:38,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37521,6a428c75496f6f972d08afbffe604e1fbf224cd8add8fbebc3a56ed30a178a25,2010-02-01 02:40:35,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37521,a55aab1f308278fb57a87617645f3f9a7bf9cd97b0aab3d415c428edad4239fc,2010-02-01 02:40:35,336,1344,1,0,0,0,2,1,25000000000,2.5,25000000000,2.5,0,0,0,0,0,0,0
37522,8dd6aa3da3a687e2c239d6c3a46bd1cd6ea553fdd57a7c92176dc05e954a3636,2010-02-01 02:40:28,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37523,f8759190eed3cf78d2b8cdfde10d029576d1ea91f56418f0b640b8d517352b80,2010-02-01 02:43:40,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37524,7c8b91e85e662a6cb633320940a4ba920e6c859d83279d2d9f6ff64b4708ae19,2010-02-01 02:54:25,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37525,f69c4a5e53e0de3b4e02b628f8c50c26bad6ece1d72568e72d69b8d8789f7bf5,2010-02-01 02:55:26,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37526,02c6484c738762c02ced32fec92c0ffa542faa4becff06e2575d0bed943e8744,2010-02-01 03:12:30,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37527,07f6b7ebe709369fb41f58006917e3dbc50311e5878328ea0ffd80e60339055e,2010-02-01 03:29:05,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37528,3ba8aeb90613b1fe969d597e85566ca730ebdf13ca66687161392fc5e0c622bd,2010-02-01 03:40:42,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37528,6884733345b952b244a44cf770be62afbcf41549d8a89d2a4bea9f479e09dd47,2010-02-01 03:40:42,631,2524,1,0,0,0,4,1,40000000000,4,40000000000,4,0,0,0,0,0,0,37.567708333333
37529,b91328680f0c75f3fa47141a218ef65ab00bf1bd7e2e1b5dd46207f977883bd5,2010-02-01 04:20:12,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37530,805cb4ab12c24249c69222e897d229d04b158905fe6dff253d1f71431d62ba45,2010-02-01 04:24:23,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37531,6719177e57941bd276d3e15ee2fd3d97eedee3f1be103cea183e6889e85bff0f,2010-02-01 04:31:12,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37532,40cc9ee7108cb89c0644b442bd537a70d42e2712b25beb0f08d29ad807c7ad7d,2010-02-01 04:34:24,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37533,23d783a4bd62345b0fdb6c5e0aff7ae1ca26a6098a9747c0f2fa172745217764,2010-02-01 04:36:11,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37534,8b2f2fb64825051ca3579599d7b22667a4e974435fb7ae933a3707bc2691d2b2,2010-02-01 04:46:49,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37535,0e4f8ad84755b08882f26b88f9bcbc67f3e66d6145979bc281c5f90e8c1b3c00,2010-02-01 05:01:22,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37536,aae92d1436c8779545b52dfd65b44ef020d0bd9ffba5c864b35295ca788b4f58,2010-02-01 05:04:14,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37537,3a1114478d0626f32f57a477db2430c339fa79d32457306d3742f466128ac207,2010-02-01 05:04:35,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37538,7f366ab7fffa324679e2b61a7562f0e82d8cbcbf6b032a39922a2969987f3e0d,2010-02-01 05:09:50,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37539,a3c430e4e17888c346791a49d92a72990642f93126f2ef8a4c2757214fbad544,2010-02-01 05:13:49,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37540,4aae1c0c7abd88eff881dcd84d0735179dcf376e69386976b45b02ae8dfe542d,2010-02-01 05:16:34,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37541,1853ecf9b89a411bc1b036bd0eccbd608f7ed455659f42db8dd133c20410f135,2010-02-01 05:27:39,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37542,7087d84ac721bed7a1f900440033d0e94d4c07321c456cbfc982ef0fed46c0dd,2010-02-01 05:33:25,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37543,bd23d3c2ae60d6ea08cb910bc36a8107a72c0b64bf094c0ae3618d7b044eaa14,2010-02-01 05:41:32,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37544,a159564f06dba04ef8666625ab4608498ac9a785510a3a18b34c235a12b39276,2010-02-01 05:56:20,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37545,d579d967167d0d5a05c3de114ddfcb7771d932075753c2a515388ea944569887,2010-02-01 06:11:16,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37546,e0623af3b58137b671f4a0a9db893cd3f97149c11141371a4857dc5291bd67a7,2010-02-01 06:20:26,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37547,dd2ffc7e8681140bc7d69a9a53f1efaa34c783e09f6bf5827975ec76e004802a,2010-02-01 06:21:26,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37548,97e7a3241f210e6e446a9eaefa29a22322b04642102158687069fefa2a1e9360,2010-02-01 06:26:52,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37549,8c0604cab47f48a75e026699309e082977a1651d4f5736e74179995fb2e73004,2010-02-01 06:33:15,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37550,8edb97acfc823f644b9b2f029eab675aec51c321094ad0533472103b09890bef,2010-02-01 06:43:40,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37551,4530d4f309e9aa07c9ecde73df0a3ca905707885e7f10a674fc2482e20192c2c,2010-02-01 07:06:13,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37552,b6237b158041b34fd6a4686329d96fe4374d228e5e3f9c784b22997c8834ae00,2010-02-01 07:06:58,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37553,3127999bdd46604e32ff001c8a0596decf02e3ed12ed73ae8446f51263eba5d5,2010-02-01 07:11:48,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37554,fb934eab2cd29260d5461120bd9fe9f5c08ba95e6f1551bf18b0411d027b1973,2010-02-01 07:21:37,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37555,dd0b4496cacdfc7f3ee632ff6baffede474bb7b3be4b143b00d4c65f6429ed95,2010-02-01 07:26:10,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37556,470975adf996895cd7dd81f35eb6cb901596cc290b7e960b2b57b8fa5bbab150,2010-02-01 07:27:01,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37557,c2331ecfcdc035537c82989d5608d9e995e852816c96991a23ea34658c444078,2010-02-01 07:38:18,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37558,fb802e1b8f8c6452e9d903550413ebae8c939a7a2423907728a204fe5b0b9bc8,2010-02-01 07:56:02,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37559,46f25452ded591f0f9eec3d86bfb16d6fb3b2caca6b76ea72ddaadf12e77ec23,2010-02-01 08:00:19,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37560,938caa513ba3ddf3f98bb1f7a5c84f1765ab593a0825d125809f7abef8cb16c8,2010-02-01 08:13:48,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37561,6aff51752e2e7e1e9fa4581038a9c3fe334b976d189711efe9d37474fbaad079,2010-02-01 08:15:28,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37562,7338a1dafaf9399bbfa86b262d4454d8982f5a1370a44714e1149bfa23e376ee,2010-02-01 08:48:36,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37562,16c4918cc650b95d732fcb0a67c4d5beab7db2c95acc130bfd8b374d4c1feba5,2010-02-01 08:48:36,388,1552,1,0,0,0,3,1,15000000000,1.5,15000000000,1.5,0,0,0,0,0,0,580.98668981481
37563,accbba173bb8cb62f34f8467ad1cafe5aacb278ec0462407756d32b785ca779b,2010-02-01 08:51:12,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37564,3b3c26d99eee1087539f114f15c79848387f924bf860adef6f704c42d2c8e7e1,2010-02-01 09:03:21,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37565,5f4a9b35b0f8d27888fa6ba986edf6e1bd6e656b900a030e112e9b8557ca6c85,2010-02-01 09:18:15,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
