block_id,transaction_hash,index,time,value,value_usd,recipient,type,script_hex,is_from_coinbase,is_spendable
37494,faf705b1dd0c22dc55b77fc436618118800ea9bd22f89200457d40139f792b83,0,2010-02-01 00:08:21,5000000000,0.5,17PeCY98XRyEK9DPk5c1PQoMj8muwJs1Q6,pubkey,4104f95172805de937ed767b5df88a5b1042e1439b30672b574cf3af9fc63764fe9d5f930bcc1ab0155b9275a78a134d08cf19aeea89b037c6f74bd7ef7308d0c903ac,1,1
37495,825b31b5c08174c85530c5a643cbcce2781d4b4ae6a9ee13fff8be1355188c93,0,2010-02-01 00:10:53,5000000000,0.5,18Tt2YoxAwJBtphjfiGm8Zr3K8dL7edEWh,pubkey,410498b7e6384de6ec2f71391cd6c9338683aec655e4fe733a7f261b8ea885885c7611eb9d0448179743ba4766f16d8f0e71800232042f45657ed6a4c357d2832581ac,1,1
37496,f480fd66255fe9bafd9b730effeace78182c0eb5c06e958c4d08615f6ce8ce47,0,2010-02-01 00:12:59,5000000000,0.5,1M1L1qBstM4fEPLCLQDHpBtZANHosAGo1j,pubkey,41047db6122b297f34e5c4264adcd05223f6eb097f990538fb7fa35f789cbb0ced495145503109c389e96fdf8592fcba6c92b825bc9d1563772a810ab10f4a46eb6bac,1,1
37497,d9d0a615902ad038de11f7fe8e49d044d8d1a77791e663960a517e1581c680ff,0,2010-02-01 00:15:31,5000000000,0.5,13vzopiP2ZAxiM7EhZzHjrroQh2dmgFvJF,pubkey,41043d54556a5e9f8905b186618ac0e527c4f712231bd7f4bbb75487c2c0e2e69e1f4e839d73bcc101dad6a95e1a7533d7e39be37d3801b3c70c4dd7c9f8528830b2ac,1,1
37498,ff5c63a108eeea781b25e8ed90ac98204b528d29480f6e6199fae31d018efe85,0,2010-02-01 00:17:36,5000000000,0.5,1C7C4GidhcfkjfpQBrbb12JShiQy4MtaxY,pubkey,410440df56a3fb9272ce8839d7e8ebdf8edf830ad8b7d870e3ee0a653ac118a0b91b065431543f614bdac2194078aacd8e9c843cf7182734a6985f2afddb2b30dd7eac,1,1
37499,8c47eef3813106ac65a14732e10e5379f54a7f21e86491525f996507508ab74d,0,2010-02-01 00:25:03,5000000000,0.5,1BagVLbq2QLWGQcEftNJ7MgLjKkHb7ET6w,pubkey,41047be509b707a1033c62b60c5f3db36c2622661f170f485ac52fc4516a8cb109e2856b92187b7bc190650e28ce7fc2e6549242b51ce9bfad7ea5354992217ac97eac,1,1
37500,9696c0530a73fb3f607c98f589b2809ba3bfb525e524a751207d1b7213b3ac6c,0,2010-02-01 00:33:35,5000000000,0.5,1M6ggVberZaN8DRZmhzejqnmDR7RUSzyXe,pubkey,4104f407293f3222ac87aa22ed112030a279c4db95889ae4a5c321cc04cc0d802f279c94178b82db0c9a788051a61a7601059f7ae2edbc3ea9fa1cbcc387033a53c4ac,1,1
37501,f3bd29c9d3ce2e6757a332e04a5e9cea9addeabf24905b8c45b5ea72015fa0ea,0,2010-02-01 00:34:09,5000000000,0.5,1Ny892eXR5JFQoVriDj3kj31R6zPtNUszs,pubkey,410467025cb741dc9a12ab978cbbaf83f689ab2102eeff9f005ca59737c46562e4af26153883df0dc2e3f872f336ccc02cf30e3d4d14c000eb66eead91e5d049bbfbac,1,1
37502,67d95019182025db94fa1053cd01c5221880c07151701bb8c4409d8be0db17e3,0,2010-02-01 00:34:49,5000000000,0.5,16ayAUsuKN9LS9EnQZAQ6sJ1tQGh3Avo5v,pubkey,4104686d3ad44bbf3f00fed2e1c1eb9c40a946fbaf30b2c8fb6252df28c573ae11377e81845836870fc620bd8ea8edfd9bee5649c814c41da6ced585e93bc6ed49faac,1,1
37503,32baed376f113fbbdbf78ab399974c666e599c739731c9efbe44170cd9d4fe04,0,2010-02-01 00:41:31,5000000000,0.5,19jXaNKaLkJrooCdwhCsTPgnbwfWrRLajZ,pubkey,4104cb6ce30cff97bd07b19b6ebc01551ee77e61c14f1deb67c72ce56e51070e7fad37c379fbced3192142d3a8df0f3647d6c3eddea7f4ad8e2d497b6232b8fee50dac,1,1
